"game_id","game_date","OT","H_A","Team_Abbrev","Team_Score","Team_pace","Team_efg_pct","Team_tov_pct","Team_orb_pct","Team_ft_rate","Team_off_rtg","Inactives","Opponent_Abbrev","Opponent_Score","Opponent_pace","Opponent_efg_pct","Opponent_tov_pct","Opponent_orb_pct","Opponent_ft_rate","Opponent_off_rtg","player","player_id","starter","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus","did_not_play","is_inactive","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","off_rtg","def_rtg","bpm","season","minutes","double_double","triple_double","DKP","FDP","SDP","DKP_per_minute","FDP_per_minute","SDP_per_minute","pf_per_minute","ts","last_60_minutes_per_game_starting","last_60_minutes_per_game_bench","PG%","SG%","SF%","PF%","C%","active_position_minutes"
"202211040BOS",2022-11-04,0,"A","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Kostas Antetokounmpo, Lonzo Ball, Andre Drummond, Marko Simonovic, Coby White","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"Malcolm Hill","hillma01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,0.146596253415704,0.101851851851852,0,0,29,71,0,48.7452302777778
"202211040BOS",2022-11-04,0,"A","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Kostas Antetokounmpo, Lonzo Ball, Andre Drummond, Marko Simonovic, Coby White","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"Dalen Terry","terryda01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,1.91374745368138,1.32962962962963,0,36,61,3,0,48.8791525
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Jayson Tatum","tatumja01",1,"40:03",8,23,0.348,3,10,0.3,17,20,0.85,2,10,12,6,1,1,1,4,36,11,0,0,0.566,0.413,0.435,0.87,6,33.3,18.9,22.9,1.1,2.2,3,34.7,126,113,7.4,2023,40.05,1,0,66.5,64.4,68,"1.66042446941323","1.60799001248439","1.69787765293383",0.0998751560549313,31.8,37.2785714285714,25.900331324462,0,2,19,69,10,50.7367431349206
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Jaylen Brown","brownja02",1,"33:50",6,14,0.429,0,3,0,4,5,0.8,1,4,5,2,0,0,3,2,16,-13,0,0,0.494,0.429,0.214,0.357,3.5,15.8,9.3,8.7,0,0,15.6,24.1,91,119,-8.7,2023,33.8333333333333,0,0,23.75,22,22.25,"0.701970443349754","0.650246305418719","0.657635467980295",0.0591133004926108,16.2,37.547619047619,26.0872596913052,1,21,77,1,0,50.9527128571429
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Al Horford","horfoal01",1,"33:24",4,8,0.5,1,5,0.2,2,3,0.667,1,4,5,5,0,1,1,3,11,-13,0,0,0.59,0.563,0.625,0.375,3.6,16,9.5,20.4,0,2.6,9.7,13.1,125,116,2.1,2023,33.4,0,0,26.75,26.5,27.25,"0.800898203592814","0.793413173652695","0.815868263473054",0.0898203592814371,9.32,31.1611111111111,21.6500544760033,0,0,0,12,88,52.9447320634921
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Derrick White","whitede01",1,"26:11",3,6,0.5,1,3,0.333,0,0,0,0,3,3,2,1,2,0,4,7,-10,0,0,0.583,0.583,0.5,0,0,15.3,7.2,10.3,1.8,6.7,0,9.7,125,108,2.1,2023,26.1833333333333,0,0,20.25,22.6,23.25,"0.773392743475493","0.863144493952896","0.887969446212603",0.152768936982813,6,27.0309523809524,18.7805110510709,3,91,5,0,0,49.3699854761905
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Marcus Smart","smartma01",1,"24:31",5,10,0.5,2,4,0.5,0,0,0,0,1,1,1,1,0,2,5,12,-10,0,0,0.6,0.6,0.4,0,0,5.4,2.6,6.3,1.9,0,16.7,20.8,95,115,-6.2,2023,24.5166666666667,0,0,16.75,15.7,16.75,"0.683208701563562","0.640380693405846","0.683208701563562",0.203942895989123,10,34.6047619047619,24.0426272893741,100,0,0,0,0,50.3847142857143
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Malcolm Brogdon","brogdma01",0,"28:50",9,10,0.9,0,0,0,7,9,0.778,0,2,2,4,0,1,4,2,25,4,0,0,0.895,0.9,0,0.9,0,9.2,4.4,25.6,0,3,22.3,26.4,138,116,6.5,2023,28.8333333333333,0,0,33.5,32.4,32.5,"1.16184971098266","1.12369942196532","1.1271676300578",0.069364161849711,13.96,33.2171879460411,23.0785714285714,53,47,0,0,0,50.0974491666667
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Grant Williams","willigr01",0,"20:32",2,3,0.667,0,1,0,0,0,0,0,4,4,3,0,0,2,2,4,15,0,0,0.667,0.667,0.333,0,0,26,12.3,19.3,0,0,40,10.3,94,118,-3.8,2023,20.5333333333333,0,0,12.5,11.3,11.5,"0.608766233766234","0.550324675324675","0.560064935064935",0.0974025974025974,3,37.19413487799,25.8416666666667,0,17,47,36,0,50.6541359523809
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Sam Hauser","hausesa01",0,"18:09",3,6,0.5,2,4,0.5,0,0,0,2,2,4,0,0,0,0,0,8,19,0,0,0.667,0.667,0.667,0,13.2,14.7,13.9,0,0,0,0,14,140,119,2,2023,18.15,0,0,14,12.8,14,"0.771349862258953","0.705234159779614","0.771349862258953",0,6,16.1853686855619,11.2452380952381,0,0,16,76,8,50.6529688888889
